Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_gps

02547;LA NEUVILLE HOUSSET;02250;;LA NEUVILLE HOUSSET;49.7881379377;3.73171627307

02554;NOGENTEL;02400;;NOGENTEL;49.0140758623;3.40340404208

02559;NOUVION ET CATILLON;02270;PONT A BUCY;NOUVION ET CATILLON;49.7075667391;3.49359729343

02562;NOUVRON VINGRE;02290;;NOUVRON VINGRE;49.4333492;3.18803179842

02569;OISY;02450;;OISY;50.0229089259;3.65273893683

02552;NEUVILLETTE;02390;;NEUVILLETTE;49.8554002239;3.46831298648

02575;ORIGNY STE BENOITE;02390;;ORIGNY STE BENOITE;49.8268502674;3.52909324665

02559;NOUVION ET CATILLON;02270;;NOUVION ET CATILLON;49.7075667391;3.49359729343

02578;OULCHES LA VALLEE FOULON;02160;;OULCHES LA VALLEE FOULON;49.4311311984;3.73966290896

02560;NOUVION LE COMTE;02800;;NOUVION LE COMTE;49.7079830783;3.46084868911

02580;OULCHY LE CHATEAU;02210;;OULCHY LE CHATEAU;49.2070701806;3.38202413773

02564;NOYANT ET ACONIN;02200;;NOYANT ET ACONIN;49.3319620657;3.33416303776

02585;PARCY ET TIGNY;02210;;PARCY ET TIGNY;49.2703704352;3.32906709704

02567;OHIS;02500;;OHIS;49.9184307239;4.01170912127

02591;PARGNY LES BOIS;02270;;PARGNY LES BOIS;49.7323072713;3.61788330529

02570;OLLEZY;02480;;OLLEZY;49.729996536;3.14607261695

02593;PASLY;02200;;PASLY;49.4022800131;3.29799527999

02576;OSLY COURTIL;02290;;OSLY COURTIL;49.3995301311;3.23736511582

02607;PLOISY;02200;;PLOISY;49.330941238;3.27456677749

02587;PARFONDRU;02840;;PARFONDRU;49.5385213412;3.70351915315

02614;PONTRU;02490;;PONTRU;49.921599489;3.20120191987

02588;PARGNAN;02160;;PARGNAN;49.3942391486;3.70308940891

02622;PRIEZ;02470;;PRIEZ;49.1306197467;3.26280717645

02590;PARGNY LA DHUYS;02330;;PARGNY LA DHUYS;48.9545509576;3.56357370593

02624;PROISY;02120;;PROISY;49.8906172484;3.75241120947

02605;PLEINE SELVE;02240;;PLEINE SELVE;49.7965883398;3.5260425643

02634;RAILLIMONT;02360;;RAILLIMONT;49.701759318;4.15934737957

02608;PLOMION;02140;;PLOMION;49.8188816623;4.01999597737

02651;ROGECOURT;02800;;ROGECOURT;49.6492919859;3.41550074354

02618;PREMONT;02110;;PREMONT;50.0143067533;3.39725258008

02655;RONCHERES;02130;;RONCHERES;49.1398358197;3.60245169493

02620;PRESLES ET BOVES;02370;;PRESLES ET BOVES;49.3900726835;3.54013980029

02657;ROUGERIES;02140;;ROUGERIES;49.8056045885;3.78694787331

02623;PRISCES;02140;;PRISCES;49.7721688271;3.86274146906

02663;ROZIERES SUR CRISE;02200;;ROZIERES SUR CRISE;49.3227443516;3.37101592804

02626;PROUVAIS;02190;;PROUVAIS;49.4760906978;3.97215349857

02666;ROZOY SUR SERRE;02360;;ROZOY SUR SERRE;49.706447861;4.13134010865

02635;RAMICOURT;02110;;RAMICOURT;49.9579684711;3.33105686967

02678;STE GENEVIEVE;02340;;STE GENEVIEVE;49.7247039611;4.07368196391

02643;RESSONS LE LONG;02290;;RESSONS LE LONG;49.3881779495;3.1411755288

02687;ST PIERRE AIGLE;02600;;ST PIERRE AIGLE;49.3121621719;3.19602649155

02645;REUILLY SAUVIGNY;02850;;REUILLY SAUVIGNY;49.0506024106;3.56448771259

02693;ST REMY BLANZY;02210;;ST REMY BLANZY;49.2457583592;3.30773725902

02649;ROCOURT ST MARTIN;02210;;ROCOURT ST MARTIN;49.1453872803;3.3891401292

02698;SANCY LES CHEMINOTS;02880;;SANCY LES CHEMINOTS;49.4393806827;3.47649552313

02670;ST ALGIS;02260;;ST ALGIS;49.8944330304;3.82546447463

02703;SEBONCOURT;02110;;SEBONCOURT;49.9626066437;3.49425998163

02672;ST BANDRY;02290;;ST BANDRY;49.3638994868;3.14949009826

02704;SELENS;02300;;SELENS;49.4943706034;3.20586043656
